© 2000-2024 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Response to elevated platelet cytosolic Ca2+	2.49E01	3.11E-01	-6.403	ABCC4,ACTN1,APP,CALM1 (includes others),CD109,CD36,CD9,CLU,CYB5R1,EGF,ENDOD1,F8,FERMT3,FLNA,GTPBP2,HABP4,ITGA2B,ITGB3,LHFPL2,LY6G6F,MAGED2,MMRN1,PCYOX1L,PDGFA,PDGFB,PECAM1,PLEK,PRKCA,PRKCB,PSAP,SELP,SERPINE1,SPARC,TAGLN2,TGFB1,THBS1,TLN1,TUBA4A,VCL,VWF,WDR1	
Interferon alpha/beta signaling	1.36E01	3.1E-01	2.132	HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HLA-H,IFI35,IFIT1,IFIT2,IFIT3,IRF7,ISG15,ISG20,MX1,MX2,OAS1,OAS2,OAS3,OASL,PTPN6,STAT2,XAF1	
Integrin Signaling	1.21E01	1.65E-01	-4.459	ACTB,ACTG1,ACTN1,ARF1,ARF3,ARHGAP5,ARPC1B,BRAF,CAPN1,CAPN11,CAPN2,CAPNS1,CRKL,CTTN,FYN,GSK3B,ILK,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,MAPK1,MYL9,MYLK,NCK2,PARVB,PDGFB,PIK3CB,RAF1,RHOBTB1,SRC,TLN1,VCL,WIPF1	
Neutrophil degranulation	1.18E01	1.16E-01	-3.101	ADAM10,ARHGAP45,ARSA,B4GALT1,C1orf35,CAPN1,CD36,COMMD9,CST3,CTSA,CTSG,CYB5R3,DBNL,DIAPH1,ELANE,FCGR2A,GLA,HLA-B,HLA-C,HMOX2,HPSE,IDH1,KCMF1,KCNAB2,LAMTOR1,MAPK1,MGST1,MLEC,MPO,MVP,NBEAL2,ORMDL3,P2RX1,PECAM1,PKM,PLAC8,PRDX6,PSAP,PSMC2,PSMD7,PTPN6,PTPRJ,PYCARD,PYGB,RAB37,SERPINB6,SLC2A3,SLC44A2,SNAP29,STOM,TMBIM1,TMEM63A,UNC13D,VAMP8,VCL	
Platelet homeostasis	1.17E01	2.56E-01	-4.264	ATP2A2,ATP2A3,CALM1 (includes others),GNAS,GNB5,GUCY1A1,GUCY1B1,IRAG1,ITPR1,ITPR2,LRP8,ORAI1,ORAI2,P2RX1,PDE2A,PECAM1,PPP2R5A,PTGIR,PTPN6,SLC8A3,STIM1,TRPC6	
Actin Cytoskeleton Signaling	9.66E00	1.39E-01	-3.674	ABI2,ACTB,ACTG1,ACTN1,ARHGAP35,ARHGEF12,ARPC1B,CRKL,DIAPH1,EGF,F2R,FGF2,FLNA,GNA13,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,MAPK1,MYH9,MYL6,MYL9,MYLK,PDGFA,PDGFB,PIK3CB,PIP5K1C,RAF1,SLC9A1,SSH1,TLN1,VAV3,VCL	
Interferon gamma signaling	9.16E00	2.13E-01	1.789	GBP1,GBP4,GBP5,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HLA-H,IRF7,MT2A,OAS1,OAS2,OAS3,OASL,PTPN6,TRIM14,TRIM21,TRIM22,TRIM26	
Caveolar-mediated Endocytosis Signaling	8.33E00	2.27E-01	NaN	ACTB,ACTG1,EGF,FLNA,FYN,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,PRKCA,SRC	
α-Adrenergic Signaling	7.98E00	1.83E-01	-3.464	CALM1 (includes others),GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,GUCY1A1,GUCY1B1,ITPR1,ITPR2,MAPK1,PHKB,PRKAR1B,PRKAR2B,PRKCA,PRKCB,PYGB,RAF1,SLC8A3	
Serotonin Receptor Signaling	7.69E00	9.81E-02	-6.193	APP,ARFGEF2,ARRB1,ATF4,BRAF,CALM1 (includes others),FYN,GNA13,GNAO1,GNAQ,GNAS,GNB5,GSK3B,GUCY1A1,GUCY1B1,H3-3A/H3-3B,HCK,ITGA2B,ITGB1,ITGB3,KALRN,MAP3K5,MAPK1,MYLK,ORAI1,ORAI2,PDK1,PIK3CB,PLA2G12A,PLD3,PRDX6,PRKAR1B,PRKAR2B,PRKCA,PRKCB,PTGS1,RAF1,RHOBTB1,SLC6A4,SMOX,SRC,STIM1,TGFB1,TRPC6,VWF,YES1	
