© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Response to elevated platelet cytosolic Ca2+	2.45E01	2.8E-01	-5.754	ABCC4,ACTN1,APP,CD109,CD36,CD9,CLU,CYB5R1,EGF,ENDOD1,FERMT3,GTPBP2,HABP4,HSPA5,ITGA2B,ITGB3,LHFPL2,LY6G6F,MMRN1,PCYOX1L,PDGFA,PECAM1,PLEK,PRKCA,PRKCB,PSAP,SELP,SERPINE1,SPARC,TAGLN2,TGFB1,THBS1,TLN1,TUBA4A,VCL,VWF,WDR1	
Integrin Signaling	1.54E01	1.67E-01	-4.116	ACTB,ACTG1,ACTN1,ARF1,ARF3,ARHGAP5,ARPC1B,BRAF,CAPN1,CAPN2,CAPNS1,CRKL,CTTN,FYN,GSK3B,ILK,ITGA2,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,MAPK1,MYL9,MYLK,NCK2,PARVB,PIK3CB,RAF1,RHOBTB1,SRC,TLN1,TLN2,VCL,WIPF1	
Neutrophil degranulation	1.32E01	1.05E-01	-3.000	ADAM10,ANO6,ARHGAP45,B4GALT1,CAPN1,CD36,CD47,COMMD9,CST3,CTSA,CTSG,CYB5R3,DIAPH1,ELANE,HLA-B,HLA-C,HPSE,IDH1,IQGAP2,LAMTOR1,MAPK1,MLEC,MPO,MVP,NBEAL2,OLFM4,ORMDL3,P2RX1,PECAM1,PKM,PLAC8,PRDX6,PRTN3,PSAP,PSMB1,PSMC2,PSMC3,PSMD7,PTPRJ,PYGB,RAB37,SLC2A3,SLC44A2,SNAP29,STOM,TMBIM1,TMEM63A,UNC13D,VAMP8,VCL	
Actin Cytoskeleton Signaling	1.27E01	1.4E-01	-3.530	ABI2,ACTB,ACTG1,ACTN1,ARHGEF12,ARPC1B,CRKL,DIAPH1,EGF,F2R,FGF2,GNA13,IQGAP2,ITGA2,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,MAPK1,MYH9,MYL9,MYLK,PDGFA,PIK3CB,PIP5K1C,RAF1,ROCK2,SLC9A1,SSH1,TLN1,TLN2,VAV3,VCL	
Platelet homeostasis	1.18E01	2.33E-01	-4.359	ATP2A2,ATP2A3,GNAS,GNB5,GUCY1A1,GUCY1B1,IRAG1,ITPR1,ITPR2,ORAI1,ORAI2,P2RX1,PDE2A,PDE5A,PECAM1,PPP2R5A,PTGIR,SLC8A3,STIM1,TRPC6	
Serotonin Receptor Signaling	1.17E01	1E-01	-5.947	ADCY3,APP,ARFGEF2,ARRB1,ATF4,BRAF,CALM3,CASP3,FYN,GNA13,GNAO1,GNAQ,GNAS,GNB5,GSK3B,GUCY1A1,GUCY1B1,H3-3A,ITGA2B,ITGB1,ITGB3,KALRN,MAP3K5,MAPK1,MYLK,ORAI1,ORAI2,PIK3CB,PLA2G12A,PLD3,PRDX6,PRKAR1B,PRKAR2B,PRKCA,PRKCB,PTGS1,RAF1,RHOBTB1,ROCK2,SLC6A4,SMOX,SRC,STIM1,TGFB1,TRPC6,VWF,YES1	
Caveolar-mediated Endocytosis Signaling	1.06E01	2.28E-01	-3.317	ACTB,ACTG1,EGF,FLOT2,FYN,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,ITGA2,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,PRKCA,SRC	
α-Adrenergic Signaling	1.06E01	1.89E-01	-3.317	ADCY3,CALM3,GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,GUCY1A1,GUCY1B1,ITPR1,ITPR2,MAPK1,PHKB,PRKAR1B,PRKAR2B,PRKCA,PRKCB,PYGB,RAF1,SLC8A3	
Cachexia Signaling Pathway	9.95E00	1.03E-01	-0.333	ADCY3,AGO2,CAPN1,CAPN2,CAPNS1,CASP2,CASP3,EIF2B1,ERN1,GNAS,GSK3B,GUCY1A1,GUCY1B1,HSP90B1,HSPA5,IGF1R,IRS1,MAPK1,MEF2C,MFN2,PIK3CB,PRKAB2,PRKAR1B,PRKAR2B,PRKCA,PRKCB,PSMA7,PSMB1,PSMB10,PSMB6,PSMC2,PSMC3,PSMD7,PSME2,SMAD2,TGFB1,TNFSF10,XBP1	
Pancreatic Secretion Signaling Pathway	9.85E00	1.23E-01	-4.914	ADCY3,ARHGDIA,ARHGEF12,ATP2A2,ATP2A3,DIAPH1,EGF,GNA13,GNAQ,GNAS,GUCY1A1,GUCY1B1,ITPR1,ITPR2,LIPA,LIPH,MAPK1,ORAI1,PIK3CB,PRKAR1B,PRKAR2B,PRKCA,PRKCB,ROCK2,SLC6A6,SLC9A1,SRC,STIM1,STX1A,YKT6	
Huntington's Disease Signaling	9.32E00	1.11E-01	-2.324	ATF4,CAPN1,CAPN2,CAPNS1,CASP2,CASP3,DLG4,DNM1,DNM3,EGF,GNAQ,GNB5,HDAC5,HSPA5,HTT,IGF1R,ITPR1,MAPK1,PIK3CB,POLR2E,PRKCA,PRKCB,PSMA7,PSMB1,PSMB10,PSMB6,PSMC2,PSMC3,PSMD7,PSME2,STX1A,YKT6	
